class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,has_version_permalink,has_version_publication_date,has_version_holding_institution,has_version_external_source,has_version_IIIF_manifest,has_version_place_of_publication,title_value,instrumentation_value,depicts_value,about_value,language_value,language_label,based_on_value
Manifestation,Journal des demoiselles (1848),,,Journal des demoiselles (1848),Journal des demoiselles (1848).md,RFFnScDJKvsc,479419650827666806258,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Ue6ZuYvAVpqW,periodical,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1848),,,Journal des demoiselles (1848),Journal des demoiselles (1848).md,RFFnScDJKvsc,479419650827666806258,has_part,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1848),,,Journal des demoiselles (1848),Journal des demoiselles (1848).md,RFFnScDJKvsc,479419650827666806258,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,16.0,1848-01-01,Journal des demoiselles,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1848),,,Journal des demoiselles (1848),Journal des demoiselles (1848).md,RFFnScDJKvsc,479419650827666806258,contributor,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1848),,,Journal des demoiselles (1848),Journal des demoiselles (1848).md,RFFnScDJKvsc,479419650827666806258,has_version,,,,,,,,,https://mdz-nbn-resolving.de/details:bsb10360008,1848-01-01,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PSaEANSLWUfh', 'label': 'Munich Digitization Center'}",https://www.digitale-sammlungen.de/en/view/bsb10360008,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10360008/manifest,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,
Manifestation,Journal des demoiselles (1848),,,Journal des demoiselles (1848),Journal des demoiselles (1848).md,RFFnScDJKvsc,479419650827666806258,title,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1848),,,Journal des demoiselles (1848),Journal des demoiselles (1848).md,RFFnScDJKvsc,479419650827666806258,instrumentation,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1848),,,Journal des demoiselles (1848),Journal des demoiselles (1848).md,RFFnScDJKvsc,479419650827666806258,depicts,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1848),,,Journal des demoiselles (1848),Journal des demoiselles (1848).md,RFFnScDJKvsc,479419650827666806258,about,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1848),,,Journal des demoiselles (1848),Journal des demoiselles (1848).md,RFFnScDJKvsc,479419650827666806258,language,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,
Manifestation,Journal des demoiselles (1848),,,Journal des demoiselles (1848),Journal des demoiselles (1848).md,RFFnScDJKvsc,479419650827666806258,based_on,,,,,,,,,,,,,,,,,,,,,
