class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_holding_institution,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value,based_on_label,form_of_creative_work_value,form_of_creative_work_label
Manifestation,La fée aux roses. Musique de F. Halévy,,,La fée aux roses. Musique de F. Halévy,La fée aux roses. Musique de F. Halévy.md,3TDUkEVUgc6F,29759578952838589771,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,
Manifestation,La fée aux roses. Musique de F. Halévy,,,La fée aux roses. Musique de F. Halévy,La fée aux roses. Musique de F. Halévy.md,3TDUkEVUgc6F,29759578952838589771,has_part,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La fée aux roses. Musique de F. Halévy,,,La fée aux roses. Musique de F. Halévy,La fée aux roses. Musique de F. Halévy.md,3TDUkEVUgc6F,29759578952838589771,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/5vMfYTL9wGVi,1850.0,Journal des dames et des demoiselles. Guide complet de tous les travaux de dames,,,,,,,,,,,,,,,,,
Manifestation,La fée aux roses. Musique de F. Halévy,,,La fée aux roses. Musique de F. Halévy,La fée aux roses. Musique de F. Halévy.md,3TDUkEVUgc6F,29759578952838589771,contributor,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La fée aux roses. Musique de F. Halévy,,,La fée aux roses. Musique de F. Halévy,La fée aux roses. Musique de F. Halévy.md,3TDUkEVUgc6F,29759578952838589771,has_version,,,,,,,,https://catalog.b-bc.org/cgi-bin/koha/opac-detail.pl?biblionumber=88236,1850.0,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/BxHoLQMESXU2', 'label': 'Brussels'}]","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iKoQN6jW4jjj', 'label': 'Royal Conservatory of Brussels'}",,,,,,,,,,,,
Manifestation,La fée aux roses. Musique de F. Halévy,,,La fée aux roses. Musique de F. Halévy,La fée aux roses. Musique de F. Halévy.md,3TDUkEVUgc6F,29759578952838589771,title,,,,,,,,,,,,La fée aux roses : paroles de Mrs Scribe et de St Georges ; musique de F. Halévy,,,,,,,,,,,
Manifestation,La fée aux roses. Musique de F. Halévy,,,La fée aux roses. Musique de F. Halévy,La fée aux roses. Musique de F. Halévy.md,3TDUkEVUgc6F,29759578952838589771,instrumentation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,,,
Manifestation,La fée aux roses. Musique de F. Halévy,,,La fée aux roses. Musique de F. Halévy,La fée aux roses. Musique de F. Halévy.md,3TDUkEVUgc6F,29759578952838589771,instrumentation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,1.0,voice,,,,,,,,
Manifestation,La fée aux roses. Musique de F. Halévy,,,La fée aux roses. Musique de F. Halévy,La fée aux roses. Musique de F. Halévy.md,3TDUkEVUgc6F,29759578952838589771,depicts,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La fée aux roses. Musique de F. Halévy,,,La fée aux roses. Musique de F. Halévy,La fée aux roses. Musique de F. Halévy.md,3TDUkEVUgc6F,29759578952838589771,about,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,La fée aux roses. Musique de F. Halévy,,,La fée aux roses. Musique de F. Halévy,La fée aux roses. Musique de F. Halévy.md,3TDUkEVUgc6F,29759578952838589771,language,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,,,,
Manifestation,La fée aux roses. Musique de F. Halévy,,,La fée aux roses. Musique de F. Halévy,La fée aux roses. Musique de F. Halévy.md,3TDUkEVUgc6F,29759578952838589771,based_on,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/3TDUkEVUgc6F,La fée aux roses. Musique de F. Halévy,,
Manifestation,La fée aux roses. Musique de F. Halévy,,,La fée aux roses. Musique de F. Halévy,La fée aux roses. Musique de F. Halévy.md,3TDUkEVUgc6F,29759578952838589771,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/aph6QHtmL78s,romance
