class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_holding_institution,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value,form_of_creative_work_value,form_of_creative_work_label
Manifestation,Le val fleuri. Quadrille,,,Le val fleuri. Quadrille,Le val fleuri. Quadrille.md,P5STT4EQ4vXZ,434595267512609818240,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PoUD3gvUcVyr,notated music,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le val fleuri. Quadrille,,,Le val fleuri. Quadrille,Le val fleuri. Quadrille.md,P5STT4EQ4vXZ,434595267512609818240,has_part,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le val fleuri. Quadrille,,,Le val fleuri. Quadrille,Le val fleuri. Quadrille.md,P5STT4EQ4vXZ,434595267512609818240,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,,Journal des demoiselles,,,,,,,,,,,,,,,,,
Manifestation,Le val fleuri. Quadrille,,,Le val fleuri. Quadrille,Le val fleuri. Quadrille.md,P5STT4EQ4vXZ,434595267512609818240,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/jUohUDQ7mo5u,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/FM6DzoKyNv6j', 'label': 'dedicatee'}",Abonnés du Journal des Demoiselles,,,,,,,,,,,,,,
Manifestation,Le val fleuri. Quadrille,,,Le val fleuri. Quadrille,Le val fleuri. Quadrille.md,P5STT4EQ4vXZ,434595267512609818240,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iNNYKR2Wjhuv,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Achille Decombes,,,,,,,,,,,,,,
Manifestation,Le val fleuri. Quadrille,,,Le val fleuri. Quadrille,Le val fleuri. Quadrille.md,P5STT4EQ4vXZ,434595267512609818240,has_version,,,,,,,,,,https://catalog.b-bc.org/cgi-bin/koha/opac-detail.pl?biblionumber=61730,,,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iKoQN6jW4jjj', 'label': 'Royal Conservatory of Brussels'}",,,,,,,,,,
Manifestation,Le val fleuri. Quadrille,,,Le val fleuri. Quadrille,Le val fleuri. Quadrille.md,P5STT4EQ4vXZ,434595267512609818240,title,,,,,,,,,,,,,,Le val fleuri : quadrille pour le piano / par Achille Decombes,,,,,,,,,
Manifestation,Le val fleuri. Quadrille,,,Le val fleuri. Quadrille,Le val fleuri. Quadrille.md,P5STT4EQ4vXZ,434595267512609818240,instrumentation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,,
Manifestation,Le val fleuri. Quadrille,,,Le val fleuri. Quadrille,Le val fleuri. Quadrille.md,P5STT4EQ4vXZ,434595267512609818240,depicts,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le val fleuri. Quadrille,,,Le val fleuri. Quadrille,Le val fleuri. Quadrille.md,P5STT4EQ4vXZ,434595267512609818240,about,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le val fleuri. Quadrille,,,Le val fleuri. Quadrille,Le val fleuri. Quadrille.md,P5STT4EQ4vXZ,434595267512609818240,language,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le val fleuri. Quadrille,,,Le val fleuri. Quadrille,Le val fleuri. Quadrille.md,P5STT4EQ4vXZ,434595267512609818240,based_on,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Le val fleuri. Quadrille,,,Le val fleuri. Quadrille,Le val fleuri. Quadrille.md,P5STT4EQ4vXZ,434595267512609818240,form_of_creative_work,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HKt9yvCZmpw6,quadrille
