class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,has_version_external_source,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,has_version_permalink,has_version_IIIF_manifest,title_value,instrumentation_value,depicts_value,about_value,language_value,language_label,based_on_value
Manifestation,Journal des demoiselles (1836),,,Journal des demoiselles (1836),Journal des demoiselles (1836).md,fn9jfuL3Esgu,779506865546985594138,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Ue6ZuYvAVpqW,periodical,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1836),,,Journal des demoiselles (1836),Journal des demoiselles (1836).md,fn9jfuL3Esgu,779506865546985594138,has_part,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1836),,,Journal des demoiselles (1836),Journal des demoiselles (1836).md,fn9jfuL3Esgu,779506865546985594138,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,4.0,1836-01-01,Journal des demoiselles,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1836),,,Journal des demoiselles (1836),Journal des demoiselles (1836).md,fn9jfuL3Esgu,779506865546985594138,contributor,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1836),,,Journal des demoiselles (1836),Journal des demoiselles (1836).md,fn9jfuL3Esgu,779506865546985594138,has_version,,,,,,,,,https://www.digitale-sammlungen.de/en/view/bsb10359987,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PSaEANSLWUfh', 'label': 'Munich Digitization Center'}",1836-01-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",https://mdz-nbn-resolving.de/details:bsb10359987,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10359987/manifest,,,,,,,
Manifestation,Journal des demoiselles (1836),,,Journal des demoiselles (1836),Journal des demoiselles (1836).md,fn9jfuL3Esgu,779506865546985594138,title,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1836),,,Journal des demoiselles (1836),Journal des demoiselles (1836).md,fn9jfuL3Esgu,779506865546985594138,instrumentation,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1836),,,Journal des demoiselles (1836),Journal des demoiselles (1836).md,fn9jfuL3Esgu,779506865546985594138,depicts,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1836),,,Journal des demoiselles (1836),Journal des demoiselles (1836).md,fn9jfuL3Esgu,779506865546985594138,about,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1836),,,Journal des demoiselles (1836),Journal des demoiselles (1836).md,fn9jfuL3Esgu,779506865546985594138,language,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,
Manifestation,Journal des demoiselles (1836),,,Journal des demoiselles (1836),Journal des demoiselles (1836).md,fn9jfuL3Esgu,779506865546985594138,based_on,,,,,,,,,,,,,,,,,,,,,
