class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,has_version_external_source,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,has_version_permalink,has_version_IIIF_manifest,title_value,instrumentation_value,depicts_value,about_value,language_value,language_label,based_on_value
Manifestation,Journal des demoiselles (1875),,,Journal des demoiselles (1875),Journal des demoiselles (1875).md,G3drbzHXXtxV,289492348043591288343,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Ue6ZuYvAVpqW,periodical,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1875),,,Journal des demoiselles (1875),Journal des demoiselles (1875).md,G3drbzHXXtxV,289492348043591288343,has_part,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1875),,,Journal des demoiselles (1875),Journal des demoiselles (1875).md,G3drbzHXXtxV,289492348043591288343,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,43.0,1875-01-01,Journal des demoiselles,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1875),,,Journal des demoiselles (1875),Journal des demoiselles (1875).md,G3drbzHXXtxV,289492348043591288343,contributor,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1875),,,Journal des demoiselles (1875),Journal des demoiselles (1875).md,G3drbzHXXtxV,289492348043591288343,has_version,,,,,,,,,https://www.digitale-sammlungen.de/en/view/bsb11308545,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/PSaEANSLWUfh', 'label': 'Munich Digitization Center'}",1875-01-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",https://mdz-nbn-resolving.de/details:bsb11308545,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb11308545/manifest,,,,,,,
Manifestation,Journal des demoiselles (1875),,,Journal des demoiselles (1875),Journal des demoiselles (1875).md,G3drbzHXXtxV,289492348043591288343,title,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1875),,,Journal des demoiselles (1875),Journal des demoiselles (1875).md,G3drbzHXXtxV,289492348043591288343,instrumentation,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1875),,,Journal des demoiselles (1875),Journal des demoiselles (1875).md,G3drbzHXXtxV,289492348043591288343,depicts,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1875),,,Journal des demoiselles (1875),Journal des demoiselles (1875).md,G3drbzHXXtxV,289492348043591288343,about,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1875),,,Journal des demoiselles (1875),Journal des demoiselles (1875).md,G3drbzHXXtxV,289492348043591288343,language,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,
Manifestation,Journal des demoiselles (1875),,,Journal des demoiselles (1875),Journal des demoiselles (1875).md,G3drbzHXXtxV,289492348043591288343,based_on,,,,,,,,,,,,,,,,,,,,,
